Video,Video title,Video publish time,Average percentage viewed (%),Subscribers gained,Likes,Your estimated revenue (USD),Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,22.07,1374,3376,14.236,216504,8115.398,0:02:14,1259568,7.81
v59G1djKn5I,GameMaker Studio 2 Tutorial: Getting Started [EP1],"May 19, 2017",12.94,109,194,0.12,11345,857.0032,0:04:31,72890,5.6
lFZeeTZ29w0,Unity Tutorial: Making Chess Part 1,"Dec 31, 2019",30.72,88,256,2.65,19029,407.5428,0:01:17,83627,12.37
a7C2Enll8pQ,GameMaker Studio 2 Tutorial: Exporting the Game [EP5],"May 29, 2017",28.11,62,430,0.43,37046,1032.797,0:01:40,193753,8.67
VDafvbHz4Qg,GameMaker Studio 2: Click to Move Tutorial,"May 31, 2017",38.77,52,231,0.465,14335,416.8138,0:01:44,105211,6.08
GfZeLJfk3RQ,Unity Tutorial: Making Chess Part 2,"Apr 14, 2020",31.09,46,187,2.08,9565,662.4077,0:04:09,46600,12.89
sWqRfygpl4I,"Advanced AI in Unity [Tutorial] - Physics, Pathfinding, Editor Adjustments","Sep 7, 2020",15.37,36,140,0.054,4775,301.9582,0:03:47,41437,6.67
fk2y46nPmkE,GameMaker Studio 2 Tutorial: Player Input and Branching Dialog [EP2],"May 19, 2017",18.89,32,115,0.019,6244,399.017,0:03:50,41335,7.97
bGkaeYEb4gU,The Best Video Game Engine for 2019 (Comparison),"Mar 30, 2019",23.12,30,142,0.38,10704,484.7101,0:02:43,95636,6.81
POO7mrNdAJ0,Unity Tutorial: Making Chess Part 3,"Apr 21, 2020",26.07,27,152,1.25,7172,593.1091,0:04:57,39013,11.1
XmE_wiymKdg,Unity Tutorial: Making Chess Part 9,"May 24, 2020",17.81,25,92,0.704,3365,105.2303,0:01:52,9591,24.44
MtwK140qNJQ,GameMaker Studio 2: Keyboard Movement Tutorial,"Jun 5, 2017",29.8,24,177,0.207,14879,279.5684,0:01:07,35638,11.11
SU_BQnlBwVY,GameMaker Studio 2: Arrays Tutorial,"May 29, 2017",34.91,19,91,0.473,6466,192.5007,0:01:47,29241,6.87
4hhl_xv3Rrk,GameMaker Studio 2: Text-Based Game Tutorial: One letter at a time Script [EP3],"May 20, 2017",12.44,16,58,0.035,5899,183.6771,0:01:52,17835,6.84
DuG4H1hh8Go,GameMaker Studio 2: Level Builder Game Tutorial: Setting Up the Grid [EP1],"Jun 4, 2017",14.95,15,57,0.031,4632,213.3856,0:02:45,23464,6.43
f3wOIJRlg40,Unity Tutorial: Making Chess Part 5,"May 2, 2020",27.21,15,78,1.07,4356,281.5812,0:03:52,26765,10.05
rtNXHn9bGwc,GameMaker Studio 2: Text-Based Game Tutorial: Game End and Script Work [EP4],"May 21, 2017",16.22,15,29,0.024,2542,78.6996,0:01:51,16958,6.19
MLF9bOBCeqg,Unity Tutorial: Making Chess Part 4,"Apr 26, 2020",29.83,14,109,1.683,5746,313.4383,0:03:16,31730,10.94
enBh49_cDsE,How to Learn Game Maker Studio 2 (Absolute Beginner),"Jan 6, 2018",27.21,14,30,0.062,1404,28.3361,0:01:12,7527,4.56
1Hl4qCfM6xE,GameMaker Studio 2: Global Variables Tutorial,"May 28, 2017",35.38,13,96,0.093,7026,138.7985,0:01:11,22108,8.12
